,Country,Job_title,Rural,Percentage,Quantity
0,Denmark,Automatic Data Processing Planner,rural,0.01%,1
1,Denmark,Automatic Data Processing Planner,urban,0.01%,1
2,Denmark,Automatic Data Processing Planner (ADP Planner),urban,0.02%,2
3,Denmark,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,0.01%,1
4,Denmark,Clinical Data Manager,rural,0.01%,1
5,Denmark,Data Architect,rural,0.01%,1
6,Denmark,Data Base Design Analyst,urban,0.01%,1
7,Denmark,Data Communications Software Consultant,rural,0.01%,1
8,Denmark,Data Communications Software Consultant,urban,0.04%,3
9,Denmark,Data Coordinator,urban,0.02%,2
10,Denmark,Data Keyer,rural,0.01%,1
11,Denmark,Data Management Information Technology Specialist,urban,0.01%,1
12,Denmark,Data Manager,urban,0.01%,1
13,Denmark,Data Officer,rural,0.01%,1
14,Denmark,Data Officer,urban,0.04%,3
15,Denmark,Data Operations Director,urban,0.01%,1
16,Denmark,Data Processing Auditor,urban,0.01%,1
17,Denmark,Data Processing Consultant,urban,0.02%,2
18,Denmark,Data Processing Manager,urban,0.01%,1
19,Denmark,Data Scientist,urban,0.01%,1
20,Denmark,Data Storage Specialist,urban,0.02%,2
21,Denmark,Data Systems Manager,urban,0.01%,1
22,Denmark,Data Transcriber,urban,0.01%,1
23,Denmark,Data Typist,urban,0.01%,1
24,Denmark,Data Warehouse Analyst,rural,0.01%,1
25,Denmark,Data Warehouse Architect,rural,0.01%,1
26,Denmark,Data Warehouse Architect,urban,0.01%,1
27,Denmark,Data Warehouse Developer,urban,0.01%,1
28,Denmark,Data Warehouse Specialist,rural,0.01%,1
29,Denmark,Data Warehousing Specialist,rural,0.01%,1
30,Denmark,Database Administration Associate,urban,0.01%,1
31,Denmark,Database Consultant,urban,0.01%,1
32,Denmark,Database Coordinator,rural,0.01%,1
33,Denmark,Database Coordinator,urban,0.01%,1
34,Denmark,Database Designer,urban,0.01%,1
35,Denmark,Database Development and Administration Project Manager,urban,0.02%,2
36,Denmark,Database Engineer,rural,0.01%,1
37,Denmark,Database Management System Specialist (DBMS Specialist),rural,0.01%,1
38,Denmark,Database Management System Specialist (DBMS Specialist),urban,0.01%,1
39,Denmark,Database Modeler,urban,0.01%,1
40,Denmark,Database Security Expert,rural,0.01%,1
41,Denmark,Database Security Expert,urban,0.01%,1
42,Denmark,Database Specialist,urban,0.04%,3
43,Denmark,Database Tester,urban,0.02%,2
44,Denmark,Databases Computer Consultant,urban,0.01%,1
45,Denmark,Director of Data Operations,urban,0.01%,1
46,Denmark,Electronic Data Interchange System Developer (EDI System Developer),urban,0.02%,2
47,Denmark,Electronic Data Processing Auditor (EDP Auditor),urban,0.01%,1
48,Denmark,Field Traffic Data Technician,urban,0.01%,1
49,Denmark,Health Data Analyst,urban,0.01%,1
50,Denmark,Internet Database Specialist,rural,0.01%,1
51,Denmark,Medical Data Analyst,urban,0.01%,1
52,Denmark,Oracle Database Administrator (Oracle DBA),urban,0.04%,3
53,Denmark,SQL Database Administrator,urban,0.01%,1
54,Denmark,Survey Data Technician,rural,0.01%,1
55,Denmark,Survey Data Technician,urban,0.01%,1
56,Denmark,Unemployed,rural,0.11%,9
57,Denmark,Unemployed,urban,0.47%,39
