,Country,Job_title,Rural,Percentage,Quantity
0,Ireland,Automatic Data Processing Planner (ADP Planner),rural,0.01%,1
1,Ireland,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,0.01%,1
2,Ireland,Data Acquisition Technician,urban,0.01%,1
3,Ireland,Data Architect,rural,0.01%,1
4,Ireland,Data Communications Analyst,urban,0.02%,2
5,Ireland,Data Control Clerk Supervisor,urban,0.01%,1
6,Ireland,Data Input Clerk,urban,0.01%,1
7,Ireland,Data Management Associate,urban,0.02%,2
8,Ireland,Data Miner,rural,0.01%,1
9,Ireland,Data Processing Auditor,urban,0.02%,2
10,Ireland,Data Processing Consultant,urban,0.02%,2
11,Ireland,Data Processing Manager,urban,0.01%,1
12,Ireland,Data Processing Mechanic,rural,0.01%,1
13,Ireland,Data Processing Systems Analyst,urban,0.02%,2
14,Ireland,Data Processing Systems Project Planner,urban,0.01%,1
15,Ireland,Data Scientist,urban,0.01%,1
16,Ireland,Data Security Administrator,urban,0.01%,1
17,Ireland,Data Specialist,urban,0.01%,1
18,Ireland,Data Systems Manager,rural,0.01%,1
19,Ireland,Data Systems Manager,urban,0.01%,1
20,Ireland,Data Warehouse Analyst,urban,0.01%,1
21,Ireland,Data Warehousing Manager,rural,0.01%,1
22,Ireland,Data Warehousing Specialist,urban,0.01%,1
23,Ireland,Database Administration Associate,urban,0.01%,1
24,Ireland,Database Architect,urban,0.01%,1
25,Ireland,Database Consultant,rural,0.01%,1
26,Ireland,Database Designer,urban,0.01%,1
27,Ireland,Database Modeler,urban,0.02%,2
28,Ireland,Database Security Administrator,rural,0.01%,1
29,Ireland,Database Tester,rural,0.01%,1
30,Ireland,Database Tester,urban,0.01%,1
31,Ireland,Electronic Data Processing Auditor (EDP Auditor),rural,0.01%,1
32,Ireland,Geographic Information Systems Data Manager (GIS Data Manager),urban,0.02%,2
33,Ireland,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,0.01%,1
34,Ireland,Geographic Information Systems Database Administrator (GIS Database Administrator),rural,0.01%,1
35,Ireland,Geographic Information Systems Database Administrator (GIS Database Administrator),urban,0.01%,1
36,Ireland,LiDAR Data Analyst,urban,0.01%,1
37,Ireland,"Operations Officer, Afloat (Naval Tactical Data Systems)",urban,0.01%,1
38,Ireland,Oracle Database Administrator (Oracle DBA),urban,0.01%,1
39,Ireland,Reference Data Expert,rural,0.01%,1
40,Ireland,SQL Database Administrator,rural,0.01%,1
41,Ireland,Unemployed,rural,0.22%,18
42,Ireland,Unemployed,urban,0.29%,24
