,Country,Job_title,Rural,Percentage,Quantity
0,Spain,Analytical Data Miner,urban,0.01%,1
1,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),rural,0.02%,2
2,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,0.11%,9
3,Spain,Automatic Data Processing Planner,rural,0.01%,1
4,Spain,Automatic Data Processing Planner,urban,0.1%,8
5,Spain,Automatic Data Processing Planner (ADP Planner),urban,0.13%,11
6,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,0.02%,2
7,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,0.06%,5
8,Spain,Business Database Analyst,urban,0.02%,2
9,Spain,Clinical Data Abstractor,urban,0.01%,1
10,Spain,Clinical Data Associate,urban,0.02%,2
11,Spain,Clinical Data Management Manager (CDM Manager),rural,0.01%,1
12,Spain,Clinical Data Management Manager (CDM Manager),urban,0.02%,2
13,Spain,Clinical Data Manager,urban,0.02%,2
14,Spain,Clinical Data Specialist,urban,0.01%,1
15,Spain,Computer or Data Processing Systems Consultant,rural,0.01%,1
16,Spain,Computer or Data Processing Systems Consultant,urban,0.1%,8
17,Spain,Crime Data Specialist,urban,0.01%,1
18,Spain,Data Administrator,urban,0.02%,2
19,Spain,Data Analysis Assistant,urban,0.01%,1
20,Spain,Data Analyst,urban,0.01%,1
21,Spain,Data Architect,rural,0.01%,1
22,Spain,Data Architect,urban,0.09%,7
23,Spain,Data Base Design Analyst,urban,0.07%,6
24,Spain,Data Collector,rural,0.01%,1
25,Spain,Data Communications Analyst,urban,0.06%,5
26,Spain,Data Communications Software Consultant,rural,0.01%,1
27,Spain,Data Communications Software Consultant,urban,0.11%,9
28,Spain,Data Communications Technician,urban,0.02%,2
29,Spain,Data Compiler,rural,0.01%,1
30,Spain,Data Compiler,urban,0.04%,3
31,Spain,Data Control Clerk Supervisor,urban,0.01%,1
32,Spain,Data Conversion Operator,urban,0.01%,1
33,Spain,Data Coordinator,rural,0.01%,1
34,Spain,Data Coordinator,urban,0.11%,9
