,Country,Job_title,Rural,Percentage,Quantity
0,Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),rural,0.01%,1
1,Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,0.01%,1
2,Austria,Automatic Data Processing Planner,rural,0.01%,1
3,Austria,Automatic Data Processing Planner,urban,0.01%,1
4,Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,0.01%,1
5,Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,0.01%,1
6,Austria,Clinical Data Specialist,rural,0.01%,1
7,Austria,Computer or Data Processing Systems Consultant,rural,0.01%,1
8,Austria,Computer or Data Processing Systems Consultant,urban,0.02%,2
9,Austria,Crime Data Specialist,urban,0.01%,1
10,Austria,Data Administrator,rural,0.01%,1
11,Austria,Data Base Design Analyst,rural,0.01%,1
12,Austria,Data Base Design Analyst,urban,0.01%,1
13,Austria,Data Coder Operator,rural,0.01%,1
14,Austria,Data Communications Software Consultant,rural,0.01%,1
15,Austria,Data Communications Software Consultant,urban,0.01%,1
16,Austria,Data Coordinator,rural,0.02%,2
17,Austria,Data Entry Representative,urban,0.01%,1
18,Austria,Data Entry Specialist,rural,0.01%,1
19,Austria,Data Keyer,urban,0.01%,1
20,Austria,Data Management Associate,urban,0.01%,1
21,Austria,Data Management Information Technology Specialist,urban,0.01%,1
22,Austria,Data Officer,urban,0.02%,2
23,Austria,Data Processing Auditor,rural,0.04%,3
24,Austria,Data Processing Systems Project Planner,urban,0.01%,1
25,Austria,Data Security Analyst,rural,0.01%,1
26,Austria,Data Security Analyst,urban,0.01%,1
27,Austria,Data Systems Manager,urban,0.01%,1
28,Austria,Data Warehouse Developer,rural,0.01%,1
29,Austria,Data Warehousing Engineer,rural,0.01%,1
30,Austria,Data Warehousing Engineer,urban,0.05%,4
31,Austria,Data Warehousing Manager,urban,0.01%,1
32,Austria,Database Administration Associate,urban,0.01%,1
33,Austria,Database Administration Manager,urban,0.01%,1
34,Austria,Database Architect,urban,0.01%,1
35,Austria,Database Coordinator,urban,0.01%,1
36,Austria,Database Design Analyst,rural,0.01%,1
37,Austria,Database Developer,urban,0.01%,1
38,Austria,Database Development and Administration Project Manager,rural,0.01%,1
39,Austria,Database Engineer,rural,0.02%,2
40,Austria,Database Manager,urban,0.01%,1
41,Austria,Database Marketing Analyst,rural,0.01%,1
42,Austria,Database Modeler,urban,0.01%,1
43,Austria,Database Security Administrator,rural,0.01%,1
44,Austria,Database Security Administrator,urban,0.02%,2
45,Austria,Database Security Expert,urban,0.01%,1
46,Austria,Database Software Technician,rural,0.02%,2
47,Austria,Databases Computer Consultant,rural,0.01%,1
48,Austria,Director of Data Operations,rural,0.01%,1
49,Austria,Electronic Data Processing Auditor (EDP Auditor),urban,0.01%,1
50,Austria,Field Artillery Automated Tactical Data System Specialist,urban,0.01%,1
51,Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),rural,0.01%,1
52,Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),rural,0.01%,1
53,Austria,Geographic Information Systems Data Manager (GIS Data Manager),rural,0.01%,1
54,Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,0.01%,1
55,Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),rural,0.01%,1
56,Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),urban,0.04%,3
57,Austria,Internet Database Specialist,rural,0.01%,1
58,Austria,Maintenance Data Analyst,urban,0.01%,1
59,Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",rural,0.01%,1
60,Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",urban,0.01%,1
61,Austria,Unemployed,rural,0.34%,28
62,Austria,Unemployed,urban,0.38%,31
63,Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,0.01%,1
64,Belgium,Automatic Data Processing Planner,rural,0.01%,1
65,Belgium,Automatic Data Processing Planner,urban,0.01%,1
66,Belgium,Automatic Data Processing Planner (ADP Planner),urban,0.01%,1
67,Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,0.01%,1
68,Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,0.01%,1
69,Belgium,Clinical Data Associate,rural,0.04%,3
70,Belgium,Clinical Data Coordinator,urban,0.01%,1
71,Belgium,Crime Data Specialist,urban,0.01%,1
72,Belgium,Data Administrator,rural,0.01%,1
73,Belgium,Data Administrator,urban,0.02%,2
74,Belgium,Data Architect,rural,0.01%,1
75,Belgium,Data Architect,urban,0.02%,2
76,Belgium,Data Base Design Analyst,rural,0.01%,1
77,Belgium,Data Capture Specialist,urban,0.01%,1
78,Belgium,Data Collector,urban,0.01%,1
79,Belgium,Data Communications Analyst,rural,0.01%,1
80,Belgium,Data Coordinator,urban,0.01%,1
81,Belgium,Data Entry Associate,urban,0.01%,1
82,Belgium,Data Entry Representative,rural,0.01%,1
83,Belgium,Data Entry Specialist,rural,0.01%,1
84,Belgium,Data Management Associate,urban,0.01%,1
85,Belgium,Data Management Information Technology Specialist,rural,0.01%,1
86,Belgium,Data Management Information Technology Specialist,urban,0.01%,1
87,Belgium,Data Manager,rural,0.01%,1
88,Belgium,Data Miner,urban,0.01%,1
89,Belgium,Data Officer,rural,0.02%,2
90,Belgium,Data Officer,urban,0.02%,2
91,Belgium,Data Processing Consultant,rural,0.01%,1
92,Belgium,Data Processing Manager,rural,0.01%,1
93,Belgium,Data Processing Systems Analyst,urban,0.02%,2
94,Belgium,Data Processing Systems Project Planner,urban,0.02%,2
95,Belgium,Data Recovery Planner,rural,0.01%,1
96,Belgium,Data Scientist,rural,0.01%,1
97,Belgium,Data Scientist,urban,0.04%,3
98,Belgium,Data Security Administrator,rural,0.01%,1
99,Belgium,Data Security Administrator,urban,0.02%,2
100,Belgium,Data Security Analyst,rural,0.01%,1
101,Belgium,Data Security Analyst,urban,0.01%,1
102,Belgium,Data Storage Specialist,urban,0.01%,1
103,Belgium,Data Systems Manager,rural,0.01%,1
104,Belgium,Data Warehouse Analyst,urban,0.01%,1
105,Belgium,Data Warehouse Developer,rural,0.01%,1
106,Belgium,Data Warehouse Specialist,rural,0.01%,1
107,Belgium,Data Warehouse Specialist,urban,0.01%,1
108,Belgium,Data Warehousing Manager,urban,0.02%,2
109,Belgium,Database Administration Associate,urban,0.02%,2
