Country,Job_title,Rural,Quantity,Percentage
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),rural,1,0.01%
Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),urban,1,0.01%
Austria,Automatic Data Processing Planner,rural,1,0.01%
Austria,Automatic Data Processing Planner,urban,1,0.01%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),rural,1,0.01%
Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),urban,1,0.01%
Austria,Clinical Data Specialist,rural,1,0.01%
Austria,Computer or Data Processing Systems Consultant,rural,1,0.01%
Austria,Computer or Data Processing Systems Consultant,urban,2,0.02%
Austria,Crime Data Specialist,urban,1,0.01%
Austria,Data Administrator,rural,1,0.01%
Austria,Data Base Design Analyst,rural,1,0.01%
Austria,Data Base Design Analyst,urban,1,0.01%
Austria,Data Coder Operator,rural,1,0.01%
Austria,Data Communications Software Consultant,rural,1,0.01%
Austria,Data Communications Software Consultant,urban,1,0.01%
Austria,Data Coordinator,rural,2,0.02%
Austria,Data Entry Representative,urban,1,0.01%
Austria,Data Entry Specialist,rural,1,0.01%
Austria,Data Keyer,urban,1,0.01%
Austria,Data Management Associate,urban,1,0.01%
Austria,Data Management Information Technology Specialist,urban,1,0.01%
Austria,Data Officer,urban,2,0.02%
Austria,Data Processing Auditor,rural,3,0.04%
Austria,Data Processing Systems Project Planner,urban,1,0.01%
Austria,Data Security Analyst,rural,1,0.01%
Austria,Data Security Analyst,urban,1,0.01%
Austria,Data Systems Manager,urban,1,0.01%
Austria,Data Warehouse Developer,rural,1,0.01%
Austria,Data Warehousing Engineer,rural,1,0.01%
Austria,Data Warehousing Engineer,urban,4,0.05%
Austria,Data Warehousing Manager,urban,1,0.01%
Austria,Database Administration Associate,urban,1,0.01%
Austria,Database Administration Manager,urban,1,0.01%
Austria,Database Architect,urban,1,0.01%
Austria,Database Coordinator,urban,1,0.01%
Austria,Database Design Analyst,rural,1,0.01%
Austria,Database Developer,urban,1,0.01%
Austria,Database Development and Administration Project Manager,rural,1,0.01%
Austria,Database Engineer,rural,2,0.02%
Austria,Database Manager,urban,1,0.01%
Austria,Database Marketing Analyst,rural,1,0.01%
Austria,Database Modeler,urban,1,0.01%
Austria,Database Security Administrator,rural,1,0.01%
Austria,Database Security Administrator,urban,2,0.02%
Austria,Database Security Expert,urban,1,0.01%
Austria,Database Software Technician,rural,2,0.02%
Austria,Databases Computer Consultant,rural,1,0.01%
Austria,Director of Data Operations,rural,1,0.01%
Austria,Electronic Data Processing Auditor (EDP Auditor),urban,1,0.01%
Austria,Field Artillery Automated Tactical Data System Specialist,urban,1,0.01%
Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),rural,1,0.01%
Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),rural,1,0.01%
Austria,Geographic Information Systems Data Manager (GIS Data Manager),rural,1,0.01%
Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),urban,1,0.01%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),rural,1,0.01%
Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),urban,3,0.04%
Austria,Internet Database Specialist,rural,1,0.01%
Austria,Maintenance Data Analyst,urban,1,0.01%
Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",rural,1,0.01%
